error,anomaly
18.754139,False
109.70693,False
114.76135,False
113.24988,False
112.21322,False
113.15971,False
222.36528,False
218.17776,False
220.90219,False
221.07971,False
222.94046,False
127.2838,False
123.89939,False
120.16058,False
120.49021,False
125.70742,False
111.49573,False
111.1181,False
112.28218,False
111.82947,False
110.22655,False
109.005264,False
107.36466,False
107.6873,False
108.265724,False
104.40568,False
115.8537,False
115.75431,False
206.70317,False
206.3195,False
207.29594,False
206.87231,False
210.49951,False
213.59872,False
218.69614,False
219.9172,False
109.67606,False
111.68008,False
14.481649,False
14.662947,False
13.803579,False
14.042059,False
10.442391,False
8.440069,False
3.3090847,False
47.429535,False
87.56418,False
130.70757,False
178.64738,False
178.46591,False
178.85777,False
179.63687,False
179.91327,False
178.3323,False
241.7751,False
198.5325,False
162.16586,False
118.05731,False
73.52336,False
73.724106,False
76.9585,False
76.37157,False
76.44185,False
77.42547,False
15.492044,False
15.591911,False
15.310346,False
15.653002,False
10.49855,False
10.605425,False
11.694603,False
11.262609,False
11.338411,False
16.42423,False
14.893077,False
14.099269,False
13.854466,False
81.3129,False
81.35719,False
81.64675,False
81.353134,False
81.3077,False
83.1337,False
77.86758,False
77.87477,False
79.879196,False
78.64655,False
10.212689,False
10.355761,False
10.736397,False
5.5870166,False
5.7971826,False
7.610354,False
12.538821,False
12.727219,False
16.010122,False
14.395151,False
18.76658,False
19.162624,False
19.1676,False
20.703747,False
20.943285,False
17.446817,False
12.258181,False
16.154005,False
11.905811,False
13.653574,False
8.4980755,False
8.087807,False
9.102892,False
8.947179,False
8.864553,False
13.752512,False
14.11748,False
11.977598,False
11.196051,False
9.5021305,False
10.383684,False
10.577615,False
11.296237,False
9.50809,False
11.336505,False
9.687839,False
9.903203,False
8.149488,False
8.881269,False
9.060124,False
75.68297,False
75.70132,False
75.54042,False
77.33882,False
80.68522,False
77.16171,False
77.5319,False
78.58189,False
81.34125,False
82.250244,False
13.539553,False
53.732613,False
96.2493,False
138.85654,False
173.71939,False
213.32883,False
257.09268,False
300.3961,False
336.5361,False
376.72153,False
421.6347,False
425.7815,True
425.7744,True
425.7277,True
429.83478,True
433.9815,True
429.87442,True
425.7277,True
392.1347,False
392.18246,False
388.08252,False
383.9825,False
379.8824,False
379.8812,False
379.87265,False
379.8147,False
383.84018,False
391.7543,False
386.82642,False
399.7267,False
408.12775,False
416.53497,False
380.18237,False
384.48236,False
388.78122,False
393.0723,False
397.30283,False
396.5394,False
400.18402,False
395.62274,False
395.52344,False
394.87558,False
402.0384,False
402.03827,False
402.03647,False
402.0228,False
401.92343,False
401.27533,False
408.43683,False
370.02655,False
369.9522,False
378.66635,False
379.2384,False
332.43814,False
294.03656,False
255.62492,False
260.0403,False
221.07983,False
221.16621,False
221.73825,False
230.92793,False
182.62314,False
173.98172,False
182.67896,False
182.75967,False
173.38623,False
119.96794,False
110.87984,False
101.36602,False
91.9277,False
33.72272,False
24.37859,False
131.95602,False
126.791306,False
121.26394,False
124.7771,False
124.76353,False
125.40321,False
124.920555,False
129.90883,False
226.19455,False
226.93759,False
117.69601,False
117.68335,False
228.29622,False
229.33614,False
231.1077,False
